epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1679.99,1.08349,0.92752,0.018,0.78822,0.74441,0.84616,0.59517,1.06213,0.83938,0.0274,0.0017294,0.0017294,0.0017294
43,1720.63,1.12401,0.95905,0.01968,0.83298,0.75999,0.83051,0.54148,1.23825,0.92876,0.033,0.0017228,0.0017228,0.0017228
44,1760.92,1.1187,0.90355,0.01861,0.77384,0.80952,0.83076,0.53689,1.19812,0.94687,0.03233,0.0017162,0.0017162,0.0017162
45,1799.56,1.11498,0.88571,0.01938,0.80332,0.70021,0.79389,0.51139,1.3017,0.96033,0.03581,0.0017096,0.0017096,0.0017096
46,1839.15,1.07849,0.89127,0.01777,0.77359,0.7159,0.80817,0.54507,1.08258,1.04415,0.02697,0.001703,0.001703,0.001703
47,1878.04,1.06362,0.90397,0.01809,0.84457,0.77626,0.89453,0.58443,1.19196,0.92926,0.03024,0.0016964,0.0016964,0.0016964
48,1917.76,1.06542,0.89953,0.01723,0.84057,0.80344,0.85675,0.59054,1.08907,0.79209,0.02883,0.0016898,0.0016898,0.0016898
49,1956.64,1.04834,0.84675,0.01735,0.81083,0.82857,0.8505,0.57479,1.14388,0.82112,0.031,0.0016832,0.0016832,0.0016832
50,1996.24,1.06287,0.89845,0.01745,0.80518,0.81905,0.85819,0.60197,1.07521,0.72707,0.02732,0.0016766,0.0016766,0.0016766
51,2035.86,1.07181,0.886,0.0176,0.87726,0.81683,0.87371,0.6037,1.04767,0.70665,0.02701,0.00167,0.00167,0.00167
52,2076.74,1.02666,0.8785,0.0169,0.78064,0.7619,0.80755,0.55554,1.15978,0.92294,0.03097,0.0016634,0.0016634,0.0016634
53,2115.47,1.03929,0.85122,0.01791,0.85554,0.7619,0.85893,0.55601,1.30299,0.94972,0.03558,0.0016568,0.0016568,0.0016568
54,2155.66,1.03866,0.89569,0.01667,0.78008,0.8381,0.88074,0.61991,1.04189,0.69343,0.02724,0.0016502,0.0016502,0.0016502
55,2195.13,1.03212,0.85343,0.01699,0.85279,0.77243,0.86757,0.58058,1.18169,0.68644,0.03224,0.0016436,0.0016436,0.0016436
56,2234.39,1.06609,0.90233,0.01806,0.81867,0.77143,0.8488,0.51812,1.34507,0.87728,0.03643,0.001637,0.001637,0.001637
57,2273.13,1.01894,0.8326,0.01751,0.82483,0.80726,0.86395,0.58112,1.15546,0.81877,0.02987,0.0016304,0.0016304,0.0016304
58,2312.22,0.99905,0.77594,0.01609,0.73181,0.75238,0.80753,0.52852,1.26526,1.01958,0.03402,0.0016238,0.0016238,0.0016238
59,2350.72,1.02329,0.81773,0.01643,0.89639,0.8381,0.90658,0.62914,1.12303,0.67093,0.03013,0.0016172,0.0016172,0.0016172
60,2391.2,1.00825,0.82221,0.01702,0.82195,0.81905,0.89694,0.60024,1.08614,0.69225,0.0282,0.0016106,0.0016106,0.0016106
61,2429.91,1.00682,0.82314,0.0166,0.91963,0.72381,0.8522,0.57699,1.29114,0.91596,0.03338,0.001604,0.001604,0.001604
