epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2266,1.20163,1.16232,1.40429,0.76897,0.2881,0.31634,0.22791,1.25581,1.19713,1.33115,0.0017294,0.0017294,0.0017294
43,2319.11,1.18211,1.17114,1.38239,0.82246,0.33095,0.34552,0.24844,1.22623,1.0225,1.34088,0.0017228,0.0017228,0.0017228
44,2370.47,1.15507,1.11173,1.37374,0.79666,0.33095,0.34601,0.25316,1.22449,0.98582,1.33433,0.0017162,0.0017162,0.0017162
45,2427.07,1.13783,1.09742,1.35356,0.78223,0.32619,0.34736,0.25399,1.1971,1.0188,1.29755,0.0017096,0.0017096,0.0017096
46,2483.27,1.12329,1.099,1.33586,0.69479,0.32857,0.33267,0.24217,1.21345,1.08177,1.35736,0.001703,0.001703,0.001703
47,2534.51,1.08415,1.06367,1.32755,0.75707,0.32381,0.34584,0.25453,1.1626,1.01649,1.28506,0.0016964,0.0016964,0.0016964
48,2591.75,1.17166,1.13059,1.36584,0.75591,0.32443,0.35163,0.25208,1.21728,1.00656,1.34593,0.0016898,0.0016898,0.0016898
49,2643.75,1.07597,1.0489,1.31522,0.82078,0.30476,0.33699,0.24451,1.241,1.06676,1.3614,0.0016832,0.0016832,0.0016832
50,2698.82,1.13836,1.08641,1.33761,0.82473,0.32857,0.34643,0.25262,1.17387,1.00224,1.32451,0.0016766,0.0016766,0.0016766
51,2750.53,1.09136,1.06591,1.32704,0.73691,0.32143,0.34265,0.2471,1.21985,1.04065,1.32905,0.00167,0.00167,0.00167
52,2802.99,1.12158,1.08982,1.34188,0.70925,0.3381,0.34191,0.24685,1.18611,1.02004,1.32783,0.0016634,0.0016634,0.0016634
53,2856.8,1.11833,1.09552,1.34137,0.76512,0.318,0.332,0.24304,1.21532,1.06112,1.3622,0.0016568,0.0016568,0.0016568
54,2910.45,1.13662,1.03948,1.33863,0.72918,0.32381,0.33752,0.25012,1.17551,1.02127,1.29478,0.0016502,0.0016502,0.0016502
55,2961.49,1.08119,1.01385,1.30515,0.7979,0.32619,0.35078,0.25967,1.14207,0.95016,1.2765,0.0016436,0.0016436,0.0016436
56,3017.61,1.09054,1.0476,1.31549,0.64782,0.31905,0.33384,0.24153,1.20555,1.05945,1.33338,0.001637,0.001637,0.001637
57,3069.04,1.06318,1.0022,1.29243,0.72353,0.32857,0.33627,0.24721,1.1916,0.99358,1.31189,0.0016304,0.0016304,0.0016304
58,3121.7,1.09448,0.99079,1.30798,0.8332,0.32143,0.35219,0.26492,1.14352,0.95025,1.28726,0.0016238,0.0016238,0.0016238
59,3176.73,1.10674,1.02814,1.32915,0.86146,0.30238,0.34179,0.25511,1.16537,0.98265,1.30277,0.0016172,0.0016172,0.0016172
60,3228.1,1.05745,1.01647,1.28873,0.72256,0.33333,0.34521,0.25338,1.18239,1.0013,1.32695,0.0016106,0.0016106,0.0016106
61,3280.45,1.11699,1.02062,1.32894,0.73317,0.3381,0.34096,0.2506,1.19432,1.00195,1.33992,0.001604,0.001604,0.001604
62,3331.73,1.10276,1.034,1.32557,0.78574,0.3119,0.32936,0.24489,1.21807,1.10009,1.33313,0.0015974,0.0015974,0.0015974
63,3383.9,1.11177,1.04721,1.32065,0.7765,0.31667,0.33813,0.25187,1.17731,1.04716,1.29516,0.0015908,0.0015908,0.0015908
64,3435.22,1.08891,1.00409,1.306,0.78193,0.32857,0.34769,0.25699,1.17223,0.98334,1.31102,0.0015842,0.0015842,0.0015842
65,3487.59,1.07283,0.99272,1.29038,0.81469,0.34048,0.34876,0.26153,1.17692,0.94261,1.31561,0.0015776,0.0015776,0.0015776
66,3541.19,1.09021,0.99635,1.30864,0.78935,0.31667,0.34484,0.25535,1.17721,1.02922,1.27241,0.001571,0.001571,0.001571
67,3592.83,1.05889,0.97562,1.29102,0.77214,0.33571,0.34972,0.26261,1.15343,0.90493,1.29727,0.0015644,0.0015644,0.0015644
68,3643.7,1.06575,0.99153,1.28219,0.81459,0.32857,0.34896,0.26103,1.14205,0.92014,1.30051,0.0015578,0.0015578,0.0015578
69,3695.9,1.06211,0.97185,1.29346,0.71864,0.3381,0.3446,0.25079,1.18522,0.95224,1.35006,0.0015512,0.0015512,0.0015512
70,3747.59,1.0416,0.93916,1.26272,0.81366,0.32857,0.34499,0.25696,1.16224,0.95722,1.2897,0.0015446,0.0015446,0.0015446
71,3803.98,1.04775,0.96546,1.28752,0.77277,0.32619,0.34255,0.26382,1.10486,0.95866,1.27326,0.001538,0.001538,0.001538
